name	user	system	elapsed
DiversityCurves	1.03	0.00	1.12	
SamplingConv	6.91	0.00	6.97	
binTimeData	0.14	0.01	0.16	
degradeTree	0.01	0.00	0.03	
depthRainbow	0.95	0.01	1.00	
droppingBranches	0.44	0.00	0.53	
expandTaxonTree	0.03	0.00	0.04	
getSampProbDisc	3.48	0.00	3.70	
getSampRateCont	3.11	0.00	3.13	
multiDiv	2.49	0.00	2.68	
paleotree-package	0.17	0.00	0.23	
plotTraitgram	0.34	0.11	0.53	
sampleRanges	0.08	0.00	0.08	
simFossilTaxa	2.45	0.00	2.59	
simPaleoTrees	4.21	0.06	4.76	
srcTimescaling	6.67	0.00	6.88	
taxa2cladogram	0.18	0.00	0.17	
taxa2phylo	0.29	0.01	0.34	
timePaleoPhy	0.95	0.02	1.28	
timeSliceTree	0.20	0.00	0.25	
unitLengthTree	0.02	0.00	0.02	
